_code,_unicode-decimal,_unicode-hex,__text
ALL,"76, 101, 107","4c, 65, 6b",Albania Lek
AFN,1547,60b,Afghanistan Afghani
ARS,36,24,Argentina Peso
AWG,402,192,Aruba Guilder
AUD,36,24,Australia Dollar
AZN,"1084, 1072, 1085","43c, 430, 43d",Azerbaijan New Manat
BSD,36,24,Bahamas Dollar
BBD,36,24,Barbados Dollar
BYR,"112, 46","70, 2e",Belarus Ruble
BZD,"66, 90, 36","42, 5a, 24",Belize Dollar
BMD,36,24,Bermuda Dollar
BOB,"36, 98","24, 62",Bolivia Boliviano
BAM,"75, 77","4b, 4d",Bosnia and Herzegovina Convertible Marka
BWP,80,50,Botswana Pula
BGN,"1083, 1074","43b, 432",Bulgaria Lev
BRL,"82, 36","52, 24",Brazil Real
BND,36,24,Brunei Darussalam Dollar
KHR,6107,17db,Cambodia Riel
CAD,36,24,Canada Dollar
KYD,36,24,Cayman Islands Dollar
CLP,36,24,Chile Peso
CNY,165,a5,China Yuan Renminbi
COP,36,24,Colombia Peso
CRC,8353,20a1,Costa Rica Colon
HRK,"107, 110","6b, 6e",Croatia Kuna
CUP,8369,20b1,Cuba Peso
CZK,"75, 269","4b, 10d",Czech Republic Koruna
DKK,"107, 114","6b, 72",Denmark Krone
DOP,"82, 68, 36","52, 44, 24",Dominican Republic Peso
XCD,36,24,East Caribbean Dollar
EGP,163,a3,Egypt Pound
SVC,36,24,El Salvador Colon
EEK,"107, 114","6b, 72",Estonia Kroon
EUR,8364,20ac,Euro Member Countries
FKP,163,a3,Falkland Islands (Malvinas) Pound
FJD,36,24,Fiji Dollar
GHC,162,a2,Ghana Cedis
GIP,163,a3,Gibraltar Pound
GTQ,81,51,Guatemala Quetzal
GGP,163,a3,Guernsey Pound
GYD,36,24,Guyana Dollar
HNL,76,4c,Honduras Lempira
HKD,36,24,Hong Kong Dollar
HUF,"70, 116","46, 74",Hungary Forint
ISK,"107, 114","6b, 72",Iceland Krona
INR,,,India Rupee
IDR,"82, 112","52, 70",Indonesia Rupiah
IRR,65020,fdfc,Iran Rial
IMP,163,a3,Isle of Man Pound
ILS,8362,20aa,Israel Shekel
JMD,"74, 36","4a, 24",Jamaica Dollar
JPY,165,a5,Japan Yen
JEP,163,a3,Jersey Pound
KZT,"1083, 1074","43b, 432",Kazakhstan Tenge
KPW,8361,20a9,Korea (North) Won
KGS,"1083, 1074","43b, 432",Kyrgyzstan Som
LAK,8365,20ad,Laos Kip
LVL,"76, 115","4c, 73",Latvia Lat
LBP,163,a3,Lebanon Pound
LRD,36,24,Liberia Dollar
LTL,"76, 116","4c, 74",Lithuania Litas
MKD,"1076, 1077, 1085","434, 435, 43d",Macedonia Denar
MYR,"82, 77","52, 4d",Malaysia Ringgit
MUR,8360,20a8,Mauritius Rupee
MXN,36,24,Mexico Peso
MNT,8366,20ae,Mongolia Tughrik
MZN,"77, 84","4d, 54",Mozambique Metical
NAD,36,24,Namibia Dollar
NPR,8360,20a8,Nepal Rupee
ANG,402,192,Netherlands Antilles Guilder
NZD,36,24,New Zealand Dollar
NIO,"67, 36","43, 24",Nicaragua Cordoba
NGN,8358,20a6,Nigeria Naira
NOK,"107, 114","6b, 72",Norway Krone
OMR,65020,fdfc,Oman Rial
PKR,8360,20a8,Pakistan Rupee
PAB,"66, 47, 46","42, 2f, 2e",Panama Balboa
PYG,"71, 115","47, 73",Paraguay Guarani
PEN,"83, 47, 46","53, 2f, 2e",Peru Nuevo Sol
PHP,8369,20b1,Philippines Peso
PLN,"122, 322","7a, 142",Poland Zloty
QAR,65020,fdfc,Qatar Riyal
RON,"108, 101, 105","6c, 65, 69",Romania New Leu
RUB,"1088, 1091, 1073","440, 443, 431",Russia Ruble
SHP,163,a3,Saint Helena Pound
SAR,65020,fdfc,Saudi Arabia Riyal
RSD,"1044, 1080, 1085, 46","414, 438, 43d, 2e",Serbia Dinar
SCR,8360,20a8,Seychelles Rupee
SGD,36,24,Singapore Dollar
SBD,36,24,Solomon Islands Dollar
SOS,83,53,Somalia Shilling
ZAR,82,52,South Africa Rand
KRW,8361,20a9,Korea (South) Won
LKR,8360,20a8,Sri Lanka Rupee
SEK,"107, 114","6b, 72",Sweden Krona
CHF,"67, 72, 70","43, 48, 46",Switzerland Franc
SRD,36,24,Suriname Dollar
SYP,163,a3,Syria Pound
TWD,"78, 84, 36","4e, 54, 24",Taiwan New Dollar
THB,3647,e3f,Thailand Baht
TTD,"84, 84, 36","54, 54, 24",Trinidad and Tobago Dollar
TRY,,,Turkey Lira
TRL,8356,20a4,Turkey Lira
TVD,36,24,Tuvalu Dollar
UAH,8372,20b4,Ukraine Hryvna
GBP,163,a3,United Kingdom Pound
USD,36,24,United States Dollar
UYU,"36, 85","24, 55",Uruguay Peso
UZS,"1083, 1074","43b, 432",Uzbekistan Som
VEF,"66, 115","42, 73",Venezuela Bolivar
VND,8363,20ab,Viet Nam Dong
YER,65020,fdfc,Yemen Rial
ZWD,"90, 36","5a, 24",Zimbabwe Dollar
